key;value
D1;Dimension 1: Offene Datenpolitik
D1.1;1.1 Politischer Rahmen
P1;"Gibt es in Ihrem Land eine nationale Open-Data-Politik und umfasst diese eine nationale Gesetzgebung zur Umsetzung der Open-Data-Richtlinie (wenn Ihr Land ein EU-Mitgliedstaat ist)?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL und (2) den Titel des Richtliniendokuments an und (3) beschreiben Sie es kurz.
* Wenn „Sonstiges“, geben Sie bitte (1) eine kurze Erläuterung zur Untermauerung Ihrer Antwortwahl an und (2) geben Sie die URL an und geben Sie den Richtlinienabschnitt an, der ausdrücklich auf offene Daten verweist."
P2;"Gibt es in Ihrem Land eine nationale Open-Data-Strategie?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL zur Strategie an und (2) beschreiben Sie die wichtigsten Highlights.
* Falls „nicht zutreffend“, geben Sie bitte (1) eine kurze Erläuterung zur Untermauerung Ihrer Antwortauswahl an und geben Sie (2) die URL an und geben Sie den Richtlinienabschnitt an, der ausdrücklich auf Ziele, Aktionen/Maßnahmen, Lieferzeitpläne usw. verweist."
P3;"Gibt es eine Politik/Strategie für offene Daten auf regionaler oder lokaler Ebene?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL und (2) den Titel des Dokuments/der Dokumente an und (3) beschreiben Sie es kurz."
P4;"Enthält die nationale Strategie/Politik einen Aktionsplan mit Maßnahmen, die im Bereich Open Data umgesetzt werden sollen?

Zur Einordnung:
Wenn ja, beschreiben Sie bitte kurz die wichtigsten im Aktionsplan beschriebenen Maßnahmen."
P5;"Beschreibt die nationale Strategie/Richtlinie Maßnahmen, um Anreize für die Veröffentlichung und den Zugriff auf Echtzeit- oder dynamische Daten zu schaffen?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen."
P6;"Beschreibt die nationale Strategie/Richtlinie Maßnahmen, um Anreize für die Veröffentlichung und den Zugriff auf von Bürgern generierte Daten zu schaffen?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen."
P7;"Fördert die nationale Strategie/Richtlinie die Auffindbarkeit der oben genannten Arten von Daten aus Ihrem Land auf data.europa.eu?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz wie."
P8;"Beschreibt die nationale Strategie/Richtlinie Maßnahmen zur Unterstützung der Wiederverwendung offener Daten durch den öffentlichen Sektor?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen."
P9;"Beschreibt die nationale Strategie/Richtlinie Maßnahmen zur Unterstützung der Wiederverwendung offener Daten durch den privaten Sektor?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen."
P10-a;"Schreibt die nationale Strategie/Richtline die Durchführung und Pflege einer Dateninventur durch öffentliche Stellen vor, sei es auf nationaler oder lokaler Ebene?

Zur Einordnung:
* Wenn ja, bitte kurz spezifizieren."
P10-b;"Umfassen diese Datenbestände die von öffentlichen Stellen erhobenen Daten, die nicht als Open Data veröffentlicht werden können (z. B. im Zusammenhang mit dem EU Data Governance Act (EU) 2022/868)?

Zur Einordnung:
* Wenn ja, bitte kurz spezifizieren."
